id,speakers,previous,tokens,tags
312,TL,ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen,ja verstanden,7
313,TL,ja verstanden,ihr setzt die Erkundung in östlicher Richtung weiter fort,7
314,TL,ihr setzt die Erkundung in östlicher Richtung weiter fort,UGV 2 von Einsatzleiter,4
315,UGV-2,UGV 2 von Einsatzleiter,UGV 2 hört,5
316,TL,UGV 2 hört,Frage: wo ist euer Standort inzwischen?,3
317,UGV-2,Frage: wo ist euer Standort inzwischen?,immer noch nicht klar,2
318,TL,immer noch nicht klar,UAV von Einsatzleiter,4
319,UAV,UAV von Einsatzleiter,hier ist die UAV,5
320,TL,hier ist die UAV,Frage: könnt ihr aus eurer Position den UGV 1 sehen?,3
321,UAV,Frage: könnt ihr aus eurer Position den UGV 1 sehen?,wir sind unterwegs und melden uns gleich nochmal,6
322,TL,wir sind unterwegs und melden uns gleich nochmal,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV eins sich momentan befindet das andere Fass zu sehen war,1
323,UAV,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV eins sich momentan befindet das andere Fass zu sehen war,ja ist verstanden,7
324,UGV-1,ja ist verstanden,UAV von UGV 1 kommen,4
325,UAV,UAV von UGV 1 kommen,hier ist UAV,5
326,UGV-1,hier ist UAV,ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden,2
327,UAV,ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden,hast du eine Ebene? auf welcher Ebene?,3
328,UGV-1,hast du eine Ebene? auf welcher Ebene?,ja auf der ersten Ebene zu den Rampen hin,2
329,UAV,ja auf der ersten Ebene zu den Rampen hin,ja ich sehe dich,2
330,UAV,ja ich sehe dich,Einsatzleiter von UAV,4
331,TL,Einsatzleiter von UAV,ja ich höre,5
332,UAV,ja ich höre,ja du hattest gerade noch mal einen Auftrag kann du den mir wiederholen?,3
333,TL,ja du hattest gerade noch mal einen Auftrag kann du den mir wiederholen?,ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen?,3
334,UAV,ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen?,ja ist negativ,0
335,UAV,ja ist negativ,das zweite war eine Wärmesignatur die ist genau in ähnlicher Position wo sich das UAV gerade befindet – das erdgebundene Fahrzeug,2
336,UAV,das zweite war eine Wärmesignatur die ist genau in ähnlicher Position wo sich das UAV gerade befindet – das erdgebundene Fahrzeug,das U- das erdgebundene,6
337,TL,das U- das erdgebundene,ja das ist verstanden,2
338,TL,ja das ist verstanden,UGV 2 von Einsatzleiter,4
339,UGV-2,UGV 2 von Einsatzleiter,UGV 2 hört,5
340,TL,UGV 2 hört,wie weit seid ihr?,3
341,UGV-2,wie weit seid ihr?,ja ich bin jetzt wieder im Außenbereich,2
342,UGV-2,ja ich bin jetzt wieder im Außenbereich,hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen,2
343,TL,hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen,ja schickst du mir mal ein Foto?,1
344,UGV-2,ja schickst du mir mal ein Foto?,ja Foto kommt,7
345,TL,ja Foto kommt,UGV 1 von Einsatzleiter,4
346,UGV-1,UGV 1 von Einsatzleiter,UGV 1 hört,5
347,TL,UGV 1 hört,die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können?,1
348,UGV-1,die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können?,ja das kann ich machen,7
349,UGV-1,ja das kann ich machen,ich breche dann die Erkundung in östlicher Richtung ab,2
350,TL,ich breche dann die Erkundung in östlicher Richtung ab,ja verstanden,2
351,UAV,ja verstanden,Einsatzleiter von UAV,4
352,TL,Einsatzleiter von UAV,ich höre,5
353,UGV-1,ich höre,nähere mich der Rauchquelle,2
354,UAV,nähere mich der Rauchquelle,ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken,2
355,TL,ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken,ja das ist verstanden,2
356,UAV,ja das ist verstanden,da bewegt sich das erdgebundene Fahrzeug gerade darauf zu,2
357,UGV-2,da bewegt sich das erdgebundene Fahrzeug gerade darauf zu,Einsatzleiter von UGV 2 kommen,4
358,TL,Einsatzleiter von UGV 2 kommen,ich höre,5
359,UGV-2,ich höre,ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt,2
360,TL,ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt,ja verstanden,2
361,UGV-2,ja verstanden,und ich glaube da kommt UGV 1 auch wieder angerollt,2
362,UGV-1,und ich glaube da kommt UGV 1 auch wieder angerollt,ja das ist korrekt,2
363,UAV,ja das ist korrekt,UGV 1 von UAV 1,4
364,UGV-1,UGV 1 von UAV 1,ich höre dich,5
365,UAV,ich höre dich,ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter,2
366,UGV-1,ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter,ja ist verstanden,2
367,UAV,ja ist verstanden,die Wärmesignaturen sind schwarze Punkte,2
368,UGV-1,die Wärmesignaturen sind schwarze Punkte,Frage: ist das schon erfolgt?,3
369,UAV,Frage: ist das schon erfolgt?,Bild ist draußen ich hab's geteilt,7
370,UAV,Bild ist draußen ich hab's geteilt,kannst du die Bilder sehen? UGV?,3
371,UGV-1,kannst du die Bilder sehen? UGV?,nein negativ,0
372,TL,nein negativ,UAV von Einsatzleiter,4
373,UAV,UAV von Einsatzleiter,hier ist die UAV,5
374,TL,hier ist die UAV,konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste?,3
375,UAV,konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste?,bisher ist das einzige,2
376,TL,bisher ist das einzige,ja verstanden,2
377,UAV,ja verstanden,UGV 1 von UAV,4
378,UGV-1,UGV 1 von UAV,ja,5
379,UGV-1,ja,ich hab die brennenden Punkte gefunden,2
380,UAV,ich hab die brennenden Punkte gefunden,ja das ist schon mal gut ja,2
381,TL,ja das ist schon mal gut ja,UGV 1 von Einsatzleiter,4
382,UGV-1,UGV 1 von Einsatzleiter,ich höre dich,5
383,TL,ich höre dich,ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich?,3
384,UGV-1,ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich?,ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser,2
385,TL,ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser,ja das ist verstanden,2
386,TL,ja das ist verstanden,UAV von Einsatzleiter,4
387,UAV,UAV von Einsatzleiter,hier ist die UAV,5
388,UAV,hier ist die UAV,wir gehen runter zur Landung Akkutausch,2
389,TL,wir gehen runter zur Landung Akkutausch,das ist verstanden,2
390,UGV-1,das ist verstanden,Einsatzleiter von UGV 1 kommen,4
391,TL,Einsatzleiter von UGV 1 kommen,ich höre,5
392,UGV-1,ich höre,ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt,2
393,TL,ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt,ist verstanden,2
394,TL,ist verstanden,ich kann momentan aus technischen Gründen nur leider nichts sehen,2
395,UGV-1,ich kann momentan aus technischen Gründen nur leider nichts sehen,ja ist verstanden,2
396,UAV,ja ist verstanden,Einsatzleiter von UAV,4
397,TL,Einsatzleiter von UAV,höre,5
398,UAV,höre,ja wir brauchen noch einen Augenblick,2
399,UAV,ja wir brauchen noch einen Augenblick,tauschen eben die Kameras,2
400,UAV,tauschen eben die Kameras,dann sind wir wieder dabei und suchen dann nach weiteren Fässern,2
401,TL,dann sind wir wieder dabei und suchen dann nach weiteren Fässern,ja verstanden,2
402,TL,ja verstanden,in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich?,3
403,UAV,in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich?,ja ist verstanden,2
404,UAV,ja ist verstanden,wobei wir jetzt nur westlich gesucht haben von meinem Standpunkt aus,0
405,TL,wobei wir jetzt nur westlich gesucht haben von meinem Standpunkt aus,okay,2
406,TL,okay,an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV,4
407,TL,an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV,Übungsende,2
408,UGV-1,Übungsende,UGV 1 verstanden,2
409,UGV-2,UGV 1 verstanden,UGV 2 verstanden,2
410,UAV,UGV 2 verstanden,UAV auch verstanden,2
411,WHS,UAV auch verstanden,Zugführer von WHS kommen,4
412,ZF,Zugführer von WHS kommen,Gruppenführer von Zugführer kommen,4
413,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
414,ZF,Gruppenführer hört,Frage Lautstärke Verständigung kommen,3
415,GF,Frage Lautstärke Verständigung kommen,Ja Lautstärke und Verständigung gut kommen,7
416,ZF,Ja Lautstärke und Verständigung gut kommen,Ja das ist so verstanden ende,2
417,GF,Ja das ist so verstanden ende,Ja ende,2
418,ZF,Ja ende,Das WHS von Zugführer kommen,4
419,ZF,Das WHS von Zugführer kommen,D2 von Zugführer kommen,4
420,D2,D2 von Zugführer kommen,D2 hier kommen,5
421,ZF,D2 hier kommen,Frage Lautstärke und Verständigung kommen,3
422,D2,Frage Lautstärke und Verständigung kommen,Nochmal bitte kommen,1
423,ZF,Nochmal bitte kommen,Frage Lautstärke und Verständigung kommen,3
424,D2,Frage Lautstärke und Verständigung kommen,Lautstärke und Verständigung sind super kommen,7
425,ZF,Lautstärke und Verständigung sind super kommen,Das ist verstanden ende,2
426,ZF,Das ist verstanden ende,WHS von Zugführer kommen,4
427,WHS,WHS von Zugführer kommen,Ja ich höre kommen,5
428,ZF,Ja ich höre kommen,Bei dir auch Frage Lautstärke und Verständigung kommen,3
429,WHS,Bei dir auch Frage Lautstärke und Verständigung kommen,Lautstärke und Verständigung ende,7
430,ZF,Lautstärke und Verständigung ende,D1 von Zugführer kommen,4
431,ZF,D1 von Zugführer kommen,D1 von Zugführer kommen,4
432,D1,D1 von Zugführer kommen,D1 hier,5
433,ZF,D1 hier,Ja auch für euch Frage Lautstärke und Verständigung kommen,3
434,D1,Ja auch für euch Frage Lautstärke und Verständigung kommen,Lautstärke OK,7
435,ZF,Lautstärke OK,Das ist so verstanden,2
436,ZF,Das ist so verstanden,Frage seid ihr einsatzbereit kommen,3
437,D1,Frage seid ihr einsatzbereit kommen,Sind einsatzbereit kommen,7
438,ZF,Sind einsatzbereit kommen,Ja das ist verstanden ende,2
439,ZF,Ja das ist verstanden ende,Gruppenführer von Zugführer kommen,4
440,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
441,ZF,Gruppenführer hört,Ja für sie Aufträge einmal Kommunikation zu den Robotertrupps checken und fragen ob Einsatzbereitschaft kommen,1
442,GF,Ja für sie Aufträge einmal Kommunikation zu den Robotertrupps checken und fragen ob Einsatzbereitschaft kommen,Einmal die Kommunikation der Robotertrupps checken und die Einsatzbereitschaft herstellen,7
443,ZF,Einmal die Kommunikation der Robotertrupps checken und die Einsatzbereitschaft herstellen,Das ist so korrekt Ende,2
444,GF,Das ist so korrekt Ende,Ja verstanden ende,2
445,ZF,Ja verstanden ende,D2 von Zugführer kommen,4
446,D2,D2 von Zugführer kommen,D2 hier kommen,5
447,ZF,D2 hier kommen,Frage seit ihr einsatzbereit kommen,3
448,D2,Frage seit ihr einsatzbereit kommen,Wir haben gerade kein <unverständlich> und wir müssen noch ins Auto fahren.,0
449,D2,Wir haben gerade kein <unverständlich> und wir müssen noch ins Auto fahren.,Also circa 5 Minuten kommen,2
450,ZF,Also circa 5 Minuten kommen,Das ist soweit verstanden,2
451,ZF,Das ist soweit verstanden,dann bitte selbständig anfunken kommen,1
452,D2,dann bitte selbständig anfunken kommen,Verstanden ende,7
453,ZF,Verstanden ende,WHS von Zugführer kommen,4
454,WHS,WHS von Zugführer kommen,WHS hier kommen,5
455,ZF,WHS hier kommen,Frage sind sie einsatzbereit kommen,3
456,WHS,Frage sind sie einsatzbereit kommen,Nur eine Sekunde ende,2
457,ZF,Nur eine Sekunde ende,Gruppenführer von Zugführer kommen,4
458,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
459,ZF,Gruppenführer hört,Ja für sie zur Information der D1 ist startklar der D2 brauch noch circa 5 Minuten bis zur Einsatzbereitschaft kommen,2
460,GF,Ja für sie zur Information der D1 ist startklar der D2 brauch noch circa 5 Minuten bis zur Einsatzbereitschaft kommen,Ja verstanden ende,2
461,WHS,Ja verstanden ende,Zugführer von WHS,4
462,ZF,Zugführer von WHS,Hier Zugführer kommen,5
463,WHS,Hier Zugführer kommen,Wir wären bereit ende,2
464,ZF,Wir wären bereit ende,Das ist verstanden ende,2
465,GF,Das ist verstanden ende,Zugführer von Gruppenführer kommen,4
466,ZF,Zugführer von Gruppenführer kommen,Ja hier Zugführer kommen,5
467,GF,Ja hier Zugführer kommen,Der D3 und D5 einsatzbereit kommen,2
468,ZF,Der D3 und D5 einsatzbereit kommen,D3 und D5 ist einsatzbereit das ist verstanden,2
469,D2,D3 und D5 ist einsatzbereit das ist verstanden,Zugführer von D2 kommen,4
470,ZF,Zugführer von D2 kommen,Ja hier Zugführer kommen,7
471,ZF,Ja hier Zugführer kommen,D2 von Zugführer kommen,4
472,D2,D2 von Zugführer kommen,D2 hier kommen,5
473,ZF,D2 hier kommen,Ja sie wollten etwas sagen kommen,3
474,D2,Ja sie wollten etwas sagen kommen,D2 ist einsatzbereit kommen,2
475,ZF,D2 ist einsatzbereit kommen,D2 ist einsatzbereit das ist verstanden,2
476,ZF,D2 ist einsatzbereit das ist verstanden,Bitte auf Übungsbeginn warten kommen,1
477,D2,Bitte auf Übungsbeginn warten kommen,Verstanden ende,7
478,ZF,Verstanden ende,An alle einsatzkräfte Übungsbeginn kommen,2
479,WHS,An alle einsatzkräfte Übungsbeginn kommen,WHS hier verstanden,2
480,ZF,WHS hier verstanden,Gruppenführer von Zugführer kommen,4
481,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
482,ZF,Gruppenführer hört,Einsatzszenario ist jetzt beginnend,2
483,GF,Einsatzszenario ist jetzt beginnend,Einsatzszenario beginnt Verstanden,2
484,ZF,Einsatzszenario beginnt Verstanden,Verstanden ende,2
485,ZF,Verstanden ende,Gruppenführer von Zugführer kommen,4
486,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
487,ZF,Gruppenführer hört,Einmal bitte zum Gefahrenbereich vor den Eingang der Halle kommen,1
488,GF,Einmal bitte zum Gefahrenbereich vor den Eingang der Halle kommen,Ja verstanden,7
489,ZF,Ja verstanden,D1 von Zugführer kommen,4
490,D1,D1 von Zugführer kommen,D1 hört kommen,5
491,ZF,D1 hört kommen,Die Einsatzstelle wurde begangen. Wir haben einen Gefahrstoffunfall in einem Lager.,2
492,ZF,Die Einsatzstelle wurde begangen. Wir haben einen Gefahrstoffunfall in einem Lager.,Für sie Erkundungsauftrag außerhalb der Halle danach bei mir melden kommen,1
493,ZF,Für sie Erkundungsauftrag außerhalb der Halle danach bei mir melden kommen,Gruppenführer von Zugführer kommen,4
494,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
495,ZF,Gruppenführer hört,der erste erkundungsflug ist jetzt mit der ersten Drohne gestartet worden kommen,2
496,GF,der erste erkundungsflug ist jetzt mit der ersten Drohne gestartet worden kommen,Ja erster erkundungsflug mit der Drohne gestartet verstanden kommen,2
497,ZF,Ja erster erkundungsflug mit der Drohne gestartet verstanden kommen,WHS von Zugführer kommen,4
498,WHS,WHS von Zugführer kommen,Hier WHS kommen,5
499,WHS,Hier WHS kommen,WHS hört kommen,5
500,ZF,WHS hört kommen,WHS für sie zur Information die Drohne D1 ist zur Außenerkundung vor,2
501,ZF,WHS für sie zur Information die Drohne D1 ist zur Außenerkundung vor,Für sie Auftrag Erkundung innen der Halle kommen,1
502,WHS,Für sie Auftrag Erkundung innen der Halle kommen,WHS hat verstanden kommen Erkundung innen verstanden <eh> kommen,7
503,ZF,WHS hat verstanden kommen Erkundung innen verstanden <eh> kommen,Ja das ist verstanden ende,2
504,ZF,Ja das ist verstanden ende,Gruppenführer von Zugführer kommen,4
505,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
506,ZF,Gruppenführer hört,Für sie zur Information der D1 ist zur Erkundung des Außenbereiches vor die WHS Drohne ist zur Innenerkundung vor kommen,2
507,GF,Für sie zur Information der D1 ist zur Erkundung des Außenbereiches vor die WHS Drohne ist zur Innenerkundung vor kommen,Ja das ist verstanden ende,2
508,ZF,Ja das ist verstanden ende,Für sie bitte die Inbetriebnahme der Roboter D3 und D5 kommen,1
509,GF,Für sie bitte die Inbetriebnahme der Roboter D3 und D5 kommen,Inbetriebnahme D3 und D5 verstanden,7
510,ZF,Inbetriebnahme D3 und D5 verstanden,Das ist so korrekt sie warten bitte noch auf weitere Einsatzbefehle kommen,1
511,GF,Das ist so korrekt sie warten bitte noch auf weitere Einsatzbefehle kommen,Wir warten in Bereitschaft verstanden,7
512,ZF,Wir warten in Bereitschaft verstanden,D1 von Zugführer kommen,4
513,D1,D1 von Zugführer kommen,D1 hört,5
514,ZF,D1 hört,Frage hat der Erkundungsauftrag Lagerhalle außen schon Erkenntnisse hervorgebracht kommen,3
515,D1,Frage hat der Erkundungsauftrag Lagerhalle außen schon Erkenntnisse hervorgebracht kommen,Bisher nichts zu sehen,0
516,ZF,Bisher nichts zu sehen,Von außen keine Erkenntnise ist das korrekt kommen,3
517,ZF,Von außen keine Erkenntnise ist das korrekt kommen,WHS von Zugführer kommen,4
518,WHS,WHS von Zugführer kommen,WHS hört,5
519,ZF,WHS hört,Frage ich kann das bild ihrer Drohne auf dem Bildschirm sehen,2
520,ZF,Frage ich kann das bild ihrer Drohne auf dem Bildschirm sehen,können sie die Kamera so positionieren dass man das gefahrgut kennzeichen sieht kommen,1
521,WHS,können sie die Kamera so positionieren dass man das gefahrgut kennzeichen sieht kommen,WHS hat verstanden kommen,7
522,ZF,WHS hat verstanden kommen,WHS von Zugführer kommen,4
523,WHS,WHS von Zugführer kommen,WHS hört,5
524,ZF,WHS hört,ein stückchen näher ran,1
525,WHS,ein stückchen näher ran,Ja habe verstanden ende,7
526,ZF,Ja habe verstanden ende,Ja perfekt so ist es zu erkennen,2
527,ZF,Ja perfekt so ist es zu erkennen,die nummer wird jetzt in die Datenbank eingegeben,2
528,ZF,die nummer wird jetzt in die Datenbank eingegeben,Für sie WHS Rückzug aus der Lagerhalle erkundungsauftrag beendet kommen,1
529,WHS,Für sie WHS Rückzug aus der Lagerhalle erkundungsauftrag beendet kommen,WHS hat verstanden ende,7
530,ZF,WHS hat verstanden ende,Gruppenführer von Zugführer kommen,4
531,GF,Gruppenführer von Zugführer kommen,Gruppenführer hört,5
532,ZF,Gruppenführer hört,Ja Erkundungsergebnisse von dem Innenflug haben ergeben es handelt sich nach HON nummer um Schwefelsäure,2
533,ZF,Ja Erkundungsergebnisse von dem Innenflug haben ergeben es handelt sich nach HON nummer um Schwefelsäure,keine Einsatzkraft betritt den Gefahrenbereich kommen,2
534,GF,keine Einsatzkraft betritt den Gefahrenbereich kommen,Erkundung ergeben Stoffidentifikation Schwefelsäure keine Einsatzkraft betritt den Gefahrenbereich verstanden,2
535,ZF,Erkundung ergeben Stoffidentifikation Schwefelsäure keine Einsatzkraft betritt den Gefahrenbereich verstanden,Es handelt sich um einen umgekippten 20Liter Kanister der vom Regal runtegefallen ist und sich geöffnet handelt,2
536,ZF,Es handelt sich um einen umgekippten 20Liter Kanister der vom Regal runtegefallen ist und sich geöffnet handelt,Für sie Auftrag es wird eine manipulation vorbereitet mit dem D2 kommen,1
