id,speakers,isoda,tokens,tags
1594,TL,Kontakt Anfrage,UGV2 für Teamleader?,4
1595,UGV-2,Kontakt Anfrage,UGV2 kommen,5
1596,TL,Information nachfragen,ja der Kanister mit Otalin ist er defekt?,3
1597,TL,Information nachfragen,ist nur eine kleine Lache oder ist er komplett ausgelaufen?,3
1598,TL,Information nachfragen,wie viel Liter sind das?,3
1599,UGV-2,Information geben,so ich kann nicht genau einschätzen wie viel ausgelaufen ist,2
1600,UGV-2,Information geben,aber eine Leckage hat stattgefunden,2
1601,UGV-2,Information geben,der K-Kanister hat zirka 30 liter Fassvermögen,2
1602,UGV-2,Kontakt Bestätigung,K-Kanister,6
1603,UGV-2,Information geben,ich kann aber eine Probe nehmen ich habe einen Arm dabei,2
1604,TL,Sonstiges,ja,7
1605,TL,Einsatzbefehl,dann bitte eine Probe nehmen,1
1606,TL,Information nachfragen,gibt's irgendwelche Erkenntnisse wo die Rauchentwicklung herkommt?,3
1607,UGV-1,Information geben,der GUV1 hat jetzt die Treppe erklommen ich werd' nach der Rauchquelle suchen,2
1608,TL,Sonstiges,das ist verstanden,2
1609,UGV-1,Information geben,aber mein Laser ist ausgefallen ich kann nur noch optisch fahren ist schon sehr verraucht,2
1610,TL,Sonstiges,ja verstanden,2
1611,TL,Information geben,du hast doch auch eine Infrarot-Kamera drauf,3
1612,TL,Information nachfragen,kannst du damit was erkennen?,3
1613,UGV-1,Zusage,die funktioniert doch nicht,0
1614,TL,Sonstiges,ja verstehe,2
1615,MC,Kontakt Anfrage,Teamleader für Mission Commander,4
1616,TL,Kontakt Bestätigung,Teamleader hört,5
1617,MC,Information geben,wir müssten eine Stelle mal genauer untersuchen,1
1618,UGV-1,Kontakt Anfrage,Teamleader von UGV1 kommen,4
1619,UGV-2,Kontakt Anfrage,Teamleader für UGV2 kommen,4
1620,TL,Sonstiges,kurz warten,6
1621,TL,Kontakt Bestätigung,Teamleader hört,5
1622,UGV-2,Information geben,wir haben jetzt eine Probe genommen und auch dabei,2
1623,UGV-2,Einsatzbefehl,sollen wir jetzt die Suche fortsetzen nach Verletzten oder zurückkehren um die Probe zu analysieren?,3
1624,TL,Information geben,ja wir konnten bereits feststellen das Otalin was es genau ist fortsetzen der Suche,2
1625,UGV-1,Information nachfragen,Thorsten kannst du mich noch hören?,3
1626,UGV-1,Kontakt Anfrage,Teamleader von UGV1 kommen,4
1627,TL,Kontakt Anfrage,Mission Commander von Teamleader,4
1628,MC,Kontakt Bestätigung,Mission Commander hört,5
1629,TL,Zusage,ja Rückmeldung,2
1630,TL,Information geben,Trupp eine Person gefunden wieder aus dem Gefahrenbereich,2
1631,TL,Information geben,geht jetzt und an den Rettungsdienst übergeben,2
1632,MC,Sonstiges,ja verstanden,2
1633,MC,Information geben,wir bräuchten mal eine genauere Untersuchung Bild Nummer 3,1
1634,UGV-1,Kontakt Anfrage,Teamleader von UGV1 kommen,4
1635,MC,Kontakt Anfrage,Teamleader von Mission Commander kommen,4
1636,TL,Zusage,ja war- kurz warten,6
1637,TL,Information geben,war- kurz warten,6
1638,TL,Kontakt Anfrage,UGV1 von Teamleader,4
1639,UGV-1,Kontakt Bestätigung,ja,5
1640,UGV-1,Information geben,die Verrauchung kommt aus einem grünen Fass ich hab mal ein Screenshot geschickt,2
1641,UGV-1,Zusage,ich versuch' die Beschriftung noch besser zu fotografieren,2
1642,UGV-1,Information geben,es ist aber sehr verraucht,2
1643,UGV-1,Information geben,und mein Laser ist ausgefallen,2
1644,TL,Sonstiges,das ist verstanden,2
1645,UGV-2,Kontakt Anfrage,Teamleader für UGV2 kommen,4
1646,TL,Kontakt Bestätigung,Teamleader hört,5
1647,UGV-2,Information geben,wir sind jetzt auch an dem grünen Kanister angekommen,2
1648,UGV-2,Information geben,wir haben einen Arm dabei sehen auch den zweiten Roboter,2
1649,UGV-2,Information geben,wir können vielleicht etwas bessere Bilder machen,2
1650,TL,Zusage,ja genau,7
1651,TL,Information geben,und da wieder die Kennzeichnung die brauchen wir,1
1652,TL,Information nachfragen,und eine Einschätzung ob Undichtigkeit und wenn ja wie viel Flüssigkeit ausgetreten ist,1
1653,MC,Zusage,so jetzt mal stopp,1
1654,MC,Kontakt Anfrage,Teamleader für Mission Commander,4
1655,MC,Information geben,eine verletzte Person hier in diesen Strukturen,2
1656,MC,Kontakt Anfrage,Teamleader von Mission Commander,4
1657,UGV-2,Kontakt Anfrage,Teamleader für UGV2 kommen,4
1658,UGV-1,Information geben,Teamleader-Funk ist ausgefallen,2
1659,UGV-2,Kontakt Anfrage,Teamleader für UGV2 kommen,4
1660,MC,Kontakt Anfrage,Teamleader für Mission Commander kommen,4
1661,UGV-1,Information geben,Teamleader-Funk ist ausgefallen,2
1662,MC,Sonstiges,okay,2
1663,TL,Kontakt Bestätigung,so der Team- der Teamleader hört wieder,2
1664,TL,Kontakt Anfrage,der Team- der Teamleader,6
1665,TL,Information geben,Funk funktioniert wieder,2
1666,UGV-2,Kontakt Anfrage,Teamleader für UGV2 kommen,4
1667,TL,Kontakt Bestätigung,Teamleader hört,5
1668,UGV-2,Information geben,wir haben den grünen Container identifiziert haben auch ein Foto gemacht und es - es müsste in der Datenbank liegen,2
1669,UGV-2,Information geben,es scheint - handelt sich um eine gift- giftige entzündliche - hochentzündliche Flüssigkeit,2
1670,UGV-2,Zusage,es scheint - handelt sich,6
1671,UGV-2,Information geben,eine gift- giftige,6
1672,UGV-2,Absage,entzündliche - hochentzündliche,2
1673,UGV-1,Kontakt Anfrage,UGV2 von 1,4
1674,UGV-2,Kontakt Anfrage,UGV1 kommen,5
1675,UGV-1,Information geben,davor ist noch ein gelber Kanister brennbares Material den hab ich auch mit fotografiert,2
1676,UGV-2,Information geben,super den habe ich noch nicht gesehen,2
1677,UGV-2,Zusage,danke schön,6
1678,MC,Kontakt Anfrage,Teamleader von Mission Commander kommen,4
1679,MC,Kontakt Anfrage,Teamleader von Mission Commander kommen,4
1680,TL,Kontakt Bestätigung,Teamleader hört,5
1681,MC,Information nachfragen,wie ist der Stand der Rettung der Verletzten?,3
1682,TL,Einsatzbefehl,ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden,2
1683,TL,Kontakt Anfrage,z- zwecks,6
1684,MC,Sonstiges,ja verstanden,2
1685,UGV-1,Kontakt Anfrage,Teamleader von UGV1 kommen,4
1686,TL,Kontakt Bestätigung,Teamleader hört,5
1687,UGV-1,Information geben,ja ich bin an der Grenze zur Datenübertragung habe ich so den Eindruck,2
1688,UGV-1,Information geben,da geht alles etwas langsamer aber ich versuch' mal hier die Gegend noch weiter abzusuchen,2
1689,TL,Sonstiges,ja,7
1690,UGV-2,Kontakt Anfrage,Teamleader für UGV2 kommen,4
1691,UGV-2,Kontakt Anfrage,Teamleader für UGV2 kommen,4
1692,TL,Kontakt Bestätigung,Teamleader hört,5
1693,UGV-2,Information geben,wir haben noch eine weitere Flasche gefunden mit 'ner Chemikalie,2
1694,UGV-2,Information geben,wir haben ein Foto gemacht,2
1695,UGV-2,Zusage,das schicke ich jetzt rüber,2
1696,TL,Sonstiges,ja verstanden,2
1697,MC,Kontakt Anfrage,Teamleader für Mission Commander kommen,4
1698,TL,Kontakt Bestätigung,Teamleader hört,5
1699,MC,Information geben,aus dem Foto sehe ich jetzt drei Behältnisse,2
1700,MC,Information geben,haben wir das grüne Fass dann einen roten Kanister und das untere ist ein blauer umgestürtzter Eimer oder was?,3
1701,MC,Information nachfragen,gibt's da nähere Erkenntnisse drüber?,3
1702,TL,Zusage,ja die Erkenntnisse was auf dem Foto zu erkennen ist,2
1703,TL,Einsatzbefehl,brennbarer mit Wasser gefährlicher gährender Stoff alles Weitere müsst ihr von der Einsatzseite eruieren,2
1704,MC,Zusage,ja die Bilder sind nicht so ganz scharf,2
1705,MC,Information nachfragen,kann er noch vielleicht mal eine bessere Auflösung schicken?,1
1706,TL,Kontakt Bestätigung,ich kümmere mich drum,7
1707,TL,Kontakt Anfrage,UGV 2 von Teamleader,4
1708,UGV-2,Kontakt Anfrage,UGV 2 kommen,5
1709,TL,Zusage,ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung,1
1710,UGV-2,Sonstiges,ich habe Sie nicht gut verstanden können Sie wiederholen?,3
1711,TL,Information geben,ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung,1
1712,UGV-2,Zusage,ja ich versuche nochmal zu dem Fass zu fahren,7
1713,UGV-2,Information geben,es ist sehr verraucht mittlerweile,2
1714,UGV-2,Information geben,aber ich versuche bessere Bilder aufzunehmen,2
1715,UGV-1,Information geben,der UGV 1 ist auch in der Nähe ich kann auch nochmal gucken,2
1716,UGV-2,Kontakt Anfrage,Teamleader vo- für UGV 2 kommen,4
1717,UGV-2,Kontakt Anfrage,vo- für,6
1718,MC,Kontakt Anfrage,Teamleader für Mission Commander,4
1719,TL,Kontakt Bestätigung,Teamleader hört,5
1720,MC,Information geben,nach den Fotos müsste die verletzte Person am linken Hochofen liegen und die UGV 2 müsste da dran vorbei gefahren sein,2
1721,MC,Information geben,und zwar zwischen der Halle hier wo wir sind und dem Hochofen,2
1722,MC,Information geben,da müsste die Person liegen,2
1723,UAV,Kontakt Anfrage,der Einsatleiter vom Operator UAV kommen,4
1724,TL,Kontakt Bestätigung,ich hör' dich,5
1725,UAV,Information geben,also derzeit sind wir nicht startbereit mit der UAV,2
1726,UAV,Information geben,weil es noch zu sehr regnet,2
1727,TL,Sonstiges,hab verstanden,2
1728,TL,Information nachfragen,UGV 1 UGV 2 seid ihr startklar?,3
1729,UGV-1,Kontakt Bestätigung,ja ich rolle bereits,7
1730,UGV-2,Zusage,ja ich rolle auch schon,7
1731,TL,Sonstiges,verstanden,2
1732,TL,Information nachfragen,UGV 1 hast du schon ein Bild gemacht?,3
1733,UGV-1,Absage,ist negativ noch nicht,0
1734,TL,Einsatzbefehl,dann bitte mal eins gerade vorweg,1
1735,UGV-2,Kontakt Anfrage,Teamleader von UGV 2,4
1736,TL,Kontakt Bestätigung,hör' dich,5
1737,UGV-2,Information geben,ja ich hab ein grünes Fass ausgemacht und Rauch,2
1738,UGV-2,Information geben,hab dir ein Bild gemacht und geteilt,2
1739,TL,Sonstiges,verstanden,2
1740,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
1741,UGV-1,Information geben,starke Rauchentwicklung vor mir,2
1742,UGV-1,Information geben,ich mach ein Foto und schick's dir,2
1743,TL,Sonstiges,Teamleader verstanden,2
1744,UGV-2,Kontakt Anfrage,Teamleader von UGV 2,4
1745,UGV-2,Information geben,im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung,2
1746,TL,Sonstiges,ja verstanden,2
1747,TL,Information nachfragen,Bild hast du verschickt?,3
1748,UGV-2,Zusage,korrekt,7
1749,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
1750,UGV-1,Information geben,ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss,2
1751,TL,Sonstiges,Teamleader verstanden,2
1752,TL,Kontakt Anfrage,UGV 2 von Teamleader,4
1753,UGV-2,Kontakt Bestätigung,hört,5
1754,TL,Information nachfragen,hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist?,3
1755,UGV-2,Sonstiges,ja warten,7
1756,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
1757,UGV-1,Information geben,ich habe die Nebelmaschine gefunden,2
1758,TL,Sonstiges,ja verstanden,2
1759,TL,Einsatzbefehl,mach mal ein Foto,1
1760,TL,Kontakt Anfrage,UGV 2 von Teamleader kommen,4
1761,UGV-2,Kontakt Bestätigung,hört,5
1762,TL,Information nachfragen,Frage gerade: aktueller Standort?,3
1763,UGV-2,Information geben,im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung,2
1764,UGV-1,Kontakt Anfrage,Teamleader UGV 1,4
1765,TL,Kontakt Bestätigung,Teamleader hört,5
1766,UGV-1,Information geben,ja ich hab 'n blaues Fass gefunden mit Aufschrift,2
1767,UGV-1,Information geben,hab dir ein Foto geschickt und werde mich dem jetzt nähern,2
1768,TL,Kontakt Anfrage,UGV 1 von Teamleader,4
1769,TL,Kontakt Anfrage,UGV 1 von Teamleader kommen,4
1770,UGV-1,Kontakt Bestätigung,ich höre,5
1771,TL,Information nachfragen,kommst du näher an das blaue Fass dass wir eine Erkennung haben?,3
1772,UGV-1,Zusage,ja ich fahr' gerade näher,7
1773,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
1774,TL,Kontakt Bestätigung,UGV 1?,5
1775,UGV-1,Information geben,ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin,2
1776,UGV-1,Information geben,ich hab ein Foto gemacht und schick's dir,2
1777,TL,Sonstiges,verstanden,2
1778,UGV-1,Information geben,von außen keine Gefahrensymbole von der Vorderseite,2
1779,UGV-1,Information geben,ich werde jetzt noch die rechte Seite erkunden,2
1780,TL,Einsatzbefehl,zu allen Roboter mal kurz Stop,1
1781,TL,Kontakt Anfrage,UAV für Einsatzleiter,4
1782,UGV-1,Information nachfragen,können wir weitermachen?,3
1783,TL,Sonstiges,warten,0
1784,TL,Kontakt Anfrage,UAV für Teamleader,4
1785,UAV,Kontakt Bestätigung,UAV hört,5
1786,TL,Information nachfragen,Frage: Einsatzbereitschaft?,3
1787,UAV,Absage,negativ,0
1788,TL,Einsatzbefehl,melden wenn Einsatzbereitschaft gegeben,1
1789,UAV,Sonstiges,verstanden,2
1790,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
1791,TL,Kontakt Bestätigung,Teamleader hört,5
1792,UGV-1,Information nachfragen,ja Frage: kommen meine Fotos an?,3
1793,TL,Sonstiges,warten,6
1794,UGV-1,Information geben,müsste ein blauer Kanister sein,2
1795,UGV-1,Information geben,ich habe weiterhin eine grüne Tonne mit einer drauf befindlichen Flasche gefunden,2
1796,UGV-2,Information geben,auf dem Weg zu der Tonne mit der Flasche obendrauf da befinde ich mich gerade,2
1797,UGV-1,Sonstiges,ja okay dann müsste ich dich ja sehen,2
1798,UGV-1,Information nachfragen,der steht ja vor die Nebelmaschine?,3
1799,UGV-2,Kontakt Bestätigung,ne ich bin vor diesem Hochofen der mehrere Bullaugen hat,2
1800,UGV-2,Zusage,sag ich mal ne,0
1801,UGV-2,Information geben,und da bin ich auf einer Seite vom Geländer,2
1802,UGV-2,Information geben,ich umfahre jetzt diese Bullaugen und müsste dann direkt vor dem Fass stehen,2
1803,UGV-1,Absage,ja das ist negativ,0
1804,UGV-1,Kontakt Bestätigung,ich stehe vor dem Fass,2
1805,UGV-1,Kontakt Anfrage,so kannst du auf deiner Seite bleiben,2
1806,UGV-2,Einsatzbefehl,na ja gut dann mach du ein Foto von dem Fass,7
1807,UGV-2,Information geben,und ich drehe um und erkunde die andere Seite,2
1808,TL,Kontakt Anfrage,UGV 1 von Teamleader kommen,4
1809,UGV-1,Kontakt Bestätigung,kommen Sie,5
1810,TL,Information nachfragen,Frage: hast du ein Foto von dem grünen Fass gemacht?,3
1811,UGV-1,Zusage,ja ist korrekt,7
1812,UGV-1,Information geben,grüne Fass mit Flasche drauf,2
1813,UGV-1,Information geben,werde aber jetzt auch mal die rückwärtige Seite des Fasses erkunden,2
1814,TL,Sonstiges,UGV 1 damit warten,1
1815,UGV-1,Information geben,also ich stehe jetzt genau vor dem Fass,2
1816,UGV-1,Information geben,ich werde nochmal ein Foto machen und dir schicken,2
1817,UGV-2,Information nachfragen,können wir weiterfahren oder warten wir noch?,3
1818,TL,Zusage,ja können weiter fahren,2
1819,TL,Sonstiges,UGV 1 aber warten,1
1820,UGV-1,Sonstiges,ja das verstanden,7
1821,UGV-1,Information geben,weitere Foto von grünen Fass mit grüner Flasche drauf wurde dir entsandt,2
1822,UGV-2,Zusage,ja UGV 2 ich dreh dann um und erkunde die andere Gebäudeseite,2
1823,TL,Sonstiges,Teamleiter verstanden,2
1824,TL,Kontakt Anfrage,UGV 1 von Teamleader,4
1825,UGV-1,Kontakt Bestätigung,kommen,5
1826,TL,Information geben,ja jetzt haben wir die Erkundung der rückwärtigen Seite in nördlicher Bereich,2
1827,UGV-1,Information nachfragen,welche rückwärtige Seite vom Fass?,3
1828,UGV-2,Kontakt Anfrage,Teamleader von UGV 2,4
1829,TL,Kontakt Bestätigung,UGV 2 hört,5
1830,UGV-2,Information geben,ja von meiner jetztigen Position aus ist quasi aus der Halle raus kein Rauch und keine Gefahren zu erkennen,2
1831,UGV-2,Information nachfragen,Frage anderer Auftrag?,3
1832,TL,Einsatzbefehl,mach mal ein Foto zur Orientierung für mich,2
1833,UGV-2,Information geben,hab ich schon,2
1834,UGV-2,Kontakt Anfrage,Teamleader von UGV 2,4
1835,TL,Sonstiges,UGV warten,6
1836,UGV-2,Kontakt Anfrage,Teamleader von UGV 2,4
1837,TL,Sonstiges,warten,6
1838,TL,Kontakt Anfrage,UGV 2 von Teamleader kommen,4
1839,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
1840,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
1841,TL,Kontakt Bestätigung,Teamleader hört,5
1842,UGV-1,Information geben,ja ich hab dir jetzt erneut das Foto geschickt,2
1843,UGV-1,Information geben,ich konnte beide Rauchquellen identifizieren beides Nebelmaschinen,2
1844,UGV-1,Information geben,hab dir jetzt ein Übersichtsfoto geschickt von einmal den blauen Kanister und dem grünen Fass mit der grünen Flasche drauf,2
1845,TL,Sonstiges,das ist verstanden,2
1846,UGV-1,Zusage,jetzt die Frage ob ich mich weiter fortbewegen soll,3
1847,UGV-1,Information geben,ich kann das Fass noch einmal umkreisen und gucken ob es eine Beschriftung drauf ist,2
1848,TL,Absage,negativ,0
1849,TL,Kontakt Anfrage,UGV 1 UGV 2,4
1850,TL,Information nachfragen,gab es Möglichkeiten eine Etage weiter nach oben zu kommen?,3
1851,UGV-2,Sonstiges,ja UGV 2,7
1852,UGV-2,Information geben,ich hab hier einen Treppenraum,2
1853,TL,Information nachfragen,nach oben?,3
1854,UGV-2,Zusage,das ist korrekt,7
1855,TL,Information nachfragen,Möglichkeiten mit dem Bodenroboter da hochzufahren?,3
1856,UGV-2,Zusage,ja ich kann das mal probieren,7
1857,TL,Einsatzbefehl,dann Erkundung zweiter Obergeschoss,1
1858,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
1859,UGV-1,Information geben,ich muss mich erst mal orientiere und gucken ob ich irgendwo hochkomme,2
1860,UGV-1,Zusage,zur Zeit hier bei den Fässern kann ich nicht hoch,2
1861,TL,Sonstiges,verstanden,2
1862,UGV-1,Kontakt Anfrage,UGV 1 Teamleader von UGV 1,4
1863,TL,Kontakt Bestätigung,UGV 1 höre,5
1864,TL,Kontakt Bestätigung,kommen,5
1865,UGV-1,Information geben,ja ich hab jetzt das Fass einmal umkreist kann auf dem Fass zwei Gefahrensymbole identifizieren einmal rot mit Flamme brennbar und einmal umweltgefährdend,2
1866,UGV-1,Information geben,werde davon ein Foto machen und dir zusanden,2
1867,UGV-1,Information geben,und eine UN-Nummer kann ich erkennen,2
1868,TL,Sonstiges,verstanden,2
1869,UGV-1,Information geben,es handelt sich um die UN-Nummer 12 03 moment,2
1870,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
1871,UGV-1,Information geben,Fotos sind raus,2
1872,UGV-1,Information geben,ich kann nur bestätigen UN-Nummer 12 03 Gefahrenzettel leicht entflammbar und umweltgefährdend,2
1873,TL,Sonstiges,verstanden,2
1874,UGV-1,Information geben,noch als Zusatz dieses Fass scheint nicht auszulaufen,2
1875,UGV-1,Information geben,steht aufrecht und ist keinerlei Flüssigkeitsaustritt zu erkennen,2
1876,TL,Sonstiges,verstanden,2
1877,UGV-1,Information geben,ich werde jetzt versuchen ins Obergeschoss zu kommen,2
1878,TL,Zusage,wiederholen,1
1879,UGV-1,Information geben,ich werde jetzt auch einen Weg suchen ins Obergeschoss zu kommen,2
1880,TL,Sonstiges,ja ist verstanden,2
1881,TL,Kontakt Anfrage,UGV 2 von Teamleader,4
1882,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
1883,TL,Information nachfragen,viel Erfolg mit dem Treppenbesteigen?,3
1884,UGV-2,Absage,ja negativ,0
1885,UGV-2,Information geben,ich hab hier gerade Probleme mit mir selbst,2
1886,UGV-1,Kontakt Anfrage,ja hier ist der UGV 1 von Teamleader,4
1887,TL,Kontakt Bestätigung,hör dich,5
1888,UGV-1,Information geben,ja ich hab ein weiteres grünes Fass gefunden beim Erkunden der Treppe gefunden in der Nähe von dem anderen aufrecht stehenden Fass festzustellen,2
1889,UGV-1,Information geben,werde dies jetzt fotografieren und einmal um-kreisen um eine Leckage,2
1890,TL,Sonstiges,ja ist verstanden,2
1891,TL,Einsatzbefehl,kannst du einmal ein Foto von dem Fass machen in Richtung der Treppe dass man einen Orientierungspunkt hat?,1
1892,UGV-1,Zusage,ja das kann ich versuchen,7
1893,UGV-1,Information geben,ich kann höchstens so fotografieren dass ich halt den Hochofen drauf hab',2
1894,TL,Sonstiges,ja verstanden,2
1895,UGV-1,Information geben,ja wir können die Orientierung nehmen von dem ersten Fass von dem ersten Fass geht's ja die Treppe hoch und da stand direkt das erste Fass und davon gesehen dann rechts,2
1896,TL,Zusage,ja machen wir so,7
1897,UGV-1,Information geben,also ich werde das nachher nachvollziehen können,2
1898,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
1899,TL,Kontakt Bestätigung,Teamleader hört,5
1900,TL,Information geben,ja das zweite Fass ist liegt auf dem Boden ist aber auch augenscheinlich verschlossen läuft nichts aus keine Flüssigkeit läuft aus,2
1901,TL,Sonstiges,das ist verstanden,2
1902,UGV-1,Information geben,hab auch davon ein Foto gemacht und dir zugesandt,2
1903,UGV-1,Information geben,da siehst du im hinteren Bereich des des Fasses auch die Öffnung die Bullaugen des Hochofens also können wir uns daran orientieren,2
1904,TL,Zusage,wiederholen,1
1905,UGV-1,Information geben,wenn du das Foto von dem Fass siehst siehst du im hinteren Bereich hinter dem Fass die Bullaugen des Hochofens,2
1906,TL,Sonstiges,verstanden,2
1907,UGV-1,Kontakt Anfrage,ja Teamleader von UGV 1,4
1908,TL,Kontakt Bestätigung,UGV 1 kommen,5
1909,UGV-1,Information nachfragen,ja Frage: soll ich weiter erkunden? das Fass liegen lassen weiterfahren?,3
1910,TL,Kontakt Anfrage,UGV 1 UGV 2 kommen,4
1911,UGV-1,Kontakt Bestätigung,UGV 1 hört,5
1912,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
1913,TL,Einsatzbefehl,Maßnahme momentan: warten wir machen hier gerade Übergabe,2
1914,UGV-1,Sonstiges,okay,2
1915,UGV-2,Sonstiges,hier UGV 2 verstanden,2
1916,TL,Einsatzbefehl,UGV 1 versuch noch in kochsweite ein bisschen nähere Ergebnisse zu kriegen,1
1917,UGV-2,Kontakt Anfrage,ja UGV 1 von UGV 2,4
1918,UGV-1,Kontakt Bestätigung,kommen,5
1919,UGV-2,Information geben,ja ich hab hier technische Probleme,2
1920,UGV-2,Information geben,ich kann meine Flipper nicht bewegen und der Laser hat hinter sich,2
1921,UGV-1,Information geben,ich hab jetzt nochmal ein Foto gesendet wo man das auch seiteliegende Fass und den blauen Kanister so im rückwärtigen Bereich erkennen kann,2
1922,UGV-1,Einsatzbefehl,da musst du genau hingucken,1
1923,TL,Einsatzbefehl,kannst du mir weitere Details zu dem liegenden Fass geben? eine Nummer zum Beispiel?,3
1924,UGV-1,Absage,ja das ist negativ,2
1925,UGV-1,Information geben,das Fass wurde einmal umkreist es liegt wahrscheinlich genau darauf,2
1926,UGV-1,Information geben,ich kann mal versuchen mal es ein bisschen zu drehen,2
1927,TL,Sonstiges,ja verstanden,7
1928,TL,Einsatzbefehl,aber sehr vorsichtig beim Vorgehen,7
1929,UGV-1,Sonstiges,ja ist verstanden,2
1930,TL,Information geben,sieht man irgendwo eine Leckage in der Nähe des Fasses?,3
1931,UGV-1,Absage,ja das ist negativ,0
1932,UGV-1,Information geben,keine Leckage aus dem Fass läuft nichts aus,2
1933,UGV-1,Information geben,beide Verschluss-Stopfen sind fest verschlossen,2
1934,TL,Information geben,beide Fässer sind noch nicht beschädigt,2
1935,UGV-1,Zusage,da das ist korrekt,2
1936,UGV-1,Information geben,nur auf dem einen stehenden grünen Fass steht noch eine grüne Flasche,2
1937,TL,Information nachfragen,was kann in der grünen Flasche drin sein?,3
1938,UGV-1,Information geben,es sieht aus wie Gerolsteiner,2
1939,TL,Information nachfragen,weitere Erkenntnisse um das Fass herum an Leckagen?,3
1940,TL,Zusage,da es ja eine Explosion gewesen ist,2
1941,TL,Information_nachfragen,kann man da irgendwo was sehen? sehen wo es ein drittes Fass im Umlauf liegen könnte,3
1942,UGV-1,Information geben,also im Moment kann ich dazu nichts sagen,2
1943,UGV-1,Information geben,um diesen beiden Fässern und dem Kanister ist kein Anschein von irgend einer Leckageaber erneut nochmal versuchen muss,2
1944,UGV-1,Information geben,ich versuche jetzt noch von dem liegenden Fass die UN-Nummer rauszu'kommen was ich bereits schon gedreht hab was ich,2
1945,TL,Sonstiges,ja verstanden,2
1946,UGV-2,Kontakt Anfrage,ja Teamleader von UGV 2,4
1947,TL,Kontakt Bestätigung,hört,5
1948,UGV-2,Zusage,ja ich versuche eigentlich ins zweite Obergeschoss zu kommen,2
1949,UGV-2,Information geben,aber ich hab hier erhebliche Probleme mit der Technik mein Roboter ist Made in Taiwan,2
1950,TL,Information nachfragen,kann man es denn manuell nicht beheben?,3
1951,UGV-2,Zusage,ich glaube nicht,0
1952,TL,Kontakt Bestätigung,UGV 1,4
1953,UGV-1,Kontakt Bestätigung,ja jetzt nicht,6
1954,UGV-1,Sonstiges,Moment mal bitte,6
1955,UGV-1,Kontakt Anfrage,ja hier ist der UGV 1 von Teamleader,5
1956,UGV-1,Information geben,ich hab das Fass jetzt hier drehen können und festgestellt dass es sich um dasselbe Piktogramm beziehungsweise den selben Piktogramme handelt wie bei dem ersten Fass,2
1957,UGV-1,Information geben,weiterhin das Fass nicht beschädigt,2
1958,TL,Information nachfragen,kann man die Temperatur von dem Fass messen?,3
1959,UGV-1,Absage,negativ,0
1960,TL,Sonstiges,ich will wissen ob die das Fass noch durch die Explosion ein Wärmebaustein ist,3
1961,UGV-1,Information geben,ich sehe ein Fass was einfach nur umgekippt ist keine Leckage,2
1962,UGV-1,Information geben,ich wollte jetzt mit dem UGV 1 nach oben ins Obergeschoss versuchen,2
1963,UGV-1,Information geben,weil da wollte der Tim hin und konnte nicht weiter erkunden wenn das okay ist,2
1964,UGV-1,Sonstiges,wenn das okay ist,2
1965,TL,Zusage,ja versuch das mal,7
1966,UGV-1,Kontakt Anfrage,UGV 2 von UGV 1,4
1967,UGV-2,Kontakt Bestätigung,hört,5
1968,UAV,Kontakt Anfrage,Teamleader von der UAV kommen,4
1969,TL,Kontakt Bestätigung,Teamleader hört,5
1970,UAV,Zusage,also aufgrund der Wetterlage,2
1971,UAV,Information geben,wäre jetzt ein Inspektionsflug möglich,2
1972,TL,Information geben,ja dann werden wir jetzt fliegen und versuchen Bilder vor der Unfallstelle aufzunehmen,7
1973,UAV,Information nachfragen,welcher Gebäudeteil soll umflogen werden?,3
1974,TL,Information geben,der mittlere Gebäudeteil,2
1975,UAV,Sonstiges,das ist verstanden,2
1976,UAV,Information geben,wir müssen jedoch nochmal wieder warten,2
1977,UAV,Information geben,weil noch eine Schauerwolke durchläuft,2
1978,TL,Sonstiges,ja verstanden,2
1979,UAV,Information geben,wir gehen automatisch in die Operation sobald der Regen nachlässt,2
1980,TL,Kontakt Anfrage,Gruppe Drohne von Teamleader kommen,4
1981,UAV,Kontakt Bestätigung,die UAV hört,5
